Struktura	Rozmiar	push_front	push_back	push_index	pop_front	pop_back	pop_random	search
ArrayList	10000	43394	47708	61620	14204	388	12652	26710
LinkedList	10000	192	312	1135742	1034	68792	7190	79806
DoubleConnectedList	10000	210	304	6524	1142	988	8550	67338
ArrayList	20000	120270	84000	106686	28424	462	27296	38654
LinkedList	20000	192	380	2338174	1908	227146	7372	230870
DoubleConnectedList	20000	304	398	8506	1984	1480	8070	227344
ArrayList	30000	86864	107112	120188	41062	478	7848	52102
LinkedList	30000	216	334	3719700	1986	341722	256546	384596
DoubleConnectedList	30000	310	384	106148	1576	1526	105872	341502
ArrayList	40000	111784	65286	105440	56388	398	45572	62600
LinkedList	40000	220	326	3847950	1972	498704	71766	501812
DoubleConnectedList	40000	282	354	58956	1704	1454	66262	495568
ArrayList	50000	143826	82246	120342	70122	402	33220	77132
LinkedList	50000	256	336	4576014	2196	630508	268346	684114
DoubleConnectedList	50000	418	382	458976	2206	1748	480778	688114
ArrayList	60000	178676	103740	156286	86812	344	60410	86926
LinkedList	60000	256	302	5347736	2026	792772	165314	868390
DoubleConnectedList	60000	320	398	189424	2114	1844	199316	769456
ArrayList	70000	198408	132580	201980	96218	400	94748	100516
LinkedList	70000	278	294	6087302	2172	993784	28934	1057020
DoubleConnectedList	70000	352	350	30768	2018	1780	34212	988288
ArrayList	80000	235606	142846	235290	118892	438	118124	111614
LinkedList	80000	334	342	6936238	2252	1147794	15430	1183162
DoubleConnectedList	80000	418	476	14502	2884	2230	15510	1139644
ArrayList	90000	266876	159834	237772	125184	480	95394	122370
LinkedList	90000	282	368	8096578	2368	1364660	229702	1423110
DoubleConnectedList	90000	376	476	317302	2500	2528	330822	1279974
ArrayList	100000	320852	234682	270336	140012	382	107918	136732
LinkedList	100000	244	352	8862138	2466	1494272	316374	1520630
DoubleConnectedList	100000	372	420	373784	2480	2124	375498	1462942
